reference_profile,nestml_profile,reference_cores_used,nestml_cores_used,reference_active_cores,nestml_active_cores,reference_execution_time_s,nestml_execution_time_s,reference_execution_energy_J,nestml_execution_energy_J,execution_energy_difference_J,execution_energy_relative_difference_percent,reference_active_only_energy_J,nestml_active_only_energy_J,reference_total_energy_J,nestml_total_energy_J
/users/elmali/nestml/reports/2026-08-31-13-30-03-326686/run_1/sample_profile.json,/users/elmali/nestml/reports/2026-08-31-13-30-12-830407/run_1/sample_profile.json,54,54,45,45,1.0,1.0,3.61250246,3.6287449400000003,0.01624248000000028,0.44961851735321123,1.4525024599999998,1.4687449399999999,36.753799098,37.461012544
/users/elmali/nestml/reports/2026-08-31-13-41-06-641742/run_1/sample_profile.json,/users/elmali/nestml/reports/2026-08-31-13-41-16-622318/run_1/sample_profile.json,66,66,57,57,1.0,1.0,3.6240254,3.65982128,0.035795880000000224,0.9877381102240681,1.4640254,1.49982128,38.46426219800001,41.743925734
/users/elmali/nestml/reports/2026-08-31-14-09-43-810515/run_1/sample_profile.json,/users/elmali/nestml/reports/2026-08-31-14-09-53-414029/run_1/sample_profile.json,59,59,50,50,1.0,1.0,3.61776192,3.64503298,0.027271059999999903,0.7538102452026446,1.4577619199999998,1.48503298,37.126049820000006,39.377951325999994
/users/elmali/nestml/reports/2026-09-01-15-53-02-842613/run_1/sample_profile.json,/users/elmali/nestml/reports/2026-09-01-15-53-12-374173/run_1/sample_profile.json,59,59,50,50,1.0,1.0,3.61790642,3.6451734,0.02726697999999983,0.7536673654483255,1.4579064199999998,1.4851733999999999,36.72427816,39.806927004
